"# Program:featureCounts v1.5.1; Command:""featureCounts"" ""-p"" ""-T"" ""4"" ""-C"" ""-t"" ""transcript"" ""-g"" ""gene_name"" ""-a"""						
Geneid	Chr	Start	End	Strand	Length	F8
Olfr1235-ps1	2	89384897	89390234	-	5338	0
Olfr1238	2	89406130	89407078	-	949	0
Olfr1239	2	89417494	89418411	-	918	0
Olfr1240	2	89439270	89440343	-	1074	0
Olfr1241	2	89482189	89483133	-	945	0
Olfr1242	2;2;2	89493294;89493390;89494020	89494346;89498213;89497703	-;-;-	4920	0
Olfr1243	2;2	89527491;89528094	89528408;89531095	-;-	3605	0
Olfr1245	2	89574712	89575773	-	1062	0
Olfr1246	2	89590069	89591146	-	1078	0
Olfr1247	2;2;2	89609156;89609156;89609857	89614022;89610100;89611645	-;-;-	4867	0
Olfr1248	2	89617168	89618245	-	1078	0
Olfr1249	2	89629940	89630896	-	957	0
Olfr1250	2;2	89656395;89656495	89657533;89661216	-;-	4822	0
Olfr1251	2	89666901	89667940	-	1040	0
Olfr1252	2	89721103	89722201	-	1099	0
Olfr1253	2	89751870	89752826	-	957	0
Olfr1254	2;2	89788406;89788406	89793170;89789350	-;-	4765	0
Olfr1255	2	89816328	89817260	+	933	0
Olfr1256	2;2	89835023;89835023	89841133;89835943	-;-	6111	0
Olfr48	2	89844066	89844971	-	906	0
Olfr1257	2;2	89878444;89880794	89881757;89881809	+;+	3366	0
Olfr1258	2;2	89927319;89929811	89930746;89930746	+;+	3428	0
Olfr1259	2	89943184	89944113	-	930	0
Olfr1260	2;2;2;2;2	89974709;89974716;89974719;89974725;89977780	89978712;89978192;89978142;89978199;89978712	+;+;+;+;+	4004	0
Olfr1261	2;2	89991238;89993395	89994315;89994315	+;+	3078	0
Olfr1262	2;2;2	90000145;90000170;90002408	90003322;90003126;90003322	+;+;+	3178	0
Olfr1263	2	90014891	90015919	+	1029	0
Olfr1264	2	90021138	90022064	-	927	0
Olfr1265	2	90036921	90037850	+	930	0
Olfr140	2;2	90051414;90051414	90063594;90052322	-;-	12181	0
Olfr1267-ps1	2	90085530	90086459	-	930	0
Olfr1268-ps1	2	90110468	90111391	-	924	0
Olfr1269	2	90118600	90119617	-	1018	0
Olfr32	2;2	90138180;90138211	90142293;90139137	-;-	4114	0
Gm4222	2	90148460	90148888	+	429	0
Olfr1270	2	90149019	90150036	-	1018	0
Gm13768	2	90174097	90195152	+	21056	0
Olfr1506	2	90221567	90224471	-	2905	0
Gm18953	2	90239483	90241423	+	1941	0
Olfr142	2	90252069	90252986	-	918	0
Olfr1271	2	90265511	90266428	-	918	0
Olfr1272	2	90281647	90282573	-	927	0
Olfr1273-ps	2	90295935	90296859	-	925	0
Gm13769	2;2	90322222;90324197	90325208;90325126	+;+	2987	0
Gm13767	2;2	90358178;90368363	90383163;90381505	-;-	24986	0
Olfr1274-ps	2;2	90400640;90400663	90401674;90401592	+;+	1035	0
Ptprj	2;2;2;2	90429754;90429756;90432889;90432889	90430445;90479170;90580647;90471336	-;-;-;-	150894	0
4933423P22Rik	2;2	90479236;90479250	90485084;90488425	+;+	9190	0
Nup160	2;2;2;2;2;2;2	90677215;90685171;90689104;90690093;90699741;90717559;90732724	90736328;90692520;90694239;90702457;90702069;90717911;90735784	+;+;+;+;+;+;+	59114	0
Fnbp4	2;2;2;2;2;2;2;2;2	90745370;90745604;90752572;90757604;90758407;90763471;90768105;90768662;90775543	90781021;90776475;90757454;90763783;90767855;90768076;90776369;90776458;90776366	+;+;+;+;+;+;+;+;+	35652	0
Rpl30-ps3	2	90747616	90747963	-	348	0
Agbl2	2;2;2;2;2;2;2;2	90782727;90782727;90782728;90782744;90783238;90783265;90783573;90784060	90834437;90817244;90810669;90816231;90814269;90829280;90816231;90797562	+;+;+;+;+;+;+;+	51711	0
Gm13772	2	90804260	90804576	-	317	0
Mtch2	2;2;2;2;2;2;2;2;2;2;2	90847155;90847178;90847190;90847231;90847253;90847273;90847287;90852191;90852826;90861240;90863459	90866810;90865388;90848314;90866640;90851620;90866640;90865391;90855747;90856864;90865471;90865388	+;+;+;+;+;+;+;+;+;+;+	19656	0
C1qtnf4	2	90885860	90890525	+	4666	0
Ndufs3	2;2;2;2;2;2	90894634;90894636;90894638;90894750;90898296;90903825	90898454;90904827;90902686;90898938;90904642;90904702	-;-;-;-;-;-	10194	0
Kbtbd4	2;2;2;2;2	90904740;90904743;90904769;90905075;90909164	90910561;90910561;90905617;90906053;90911626	+;+;+;+;+	6887	0
Ptpmt1	2;2;2;2;2	90908716;90910713;90910713;90910994;90914038	90917857;90918258;90918050;90917596;90917669	-;-;-;-;-	9543	0
Gm17661	2	90917643	90917914	+	272	0
Celf1	2;2;2;2;2;2;2;2;2;2;2;2;2;2	90940382;90940397;90940397;90940397;90940397;90940458;90940537;90940543;90965092;90987620;90987746;90998579;90998579;91012489	90987754;91019497;91019490;91019490;91019490;90998616;91001510;91019497;90987816;91019497;91019490;91019497;91019497;91013372	+;+;+;+;+;+;+;+;+;+;+;+;+;+	79116	0
Gm13777	2	91030778	91031122	-	345	0
Rapsn	2;2;2;2	91035620;91035627;91035641;91042785	91045729;91045726;91045729;91045480	+;+;+;+	10110	0
Gm13778	2;2	91044092;91044395	91053918;91053933	-;-	9842	0
Psmc3	2;2;2;2;2;2;2;2;2	91054009;91054055;91054095;91054100;91054301;91054382;91054478;91054573;91058109	91059432;91066369;91055935;91059432;91056996;91055718;91055553;91055928;91059434	+;+;+;+;+;+;+;+;+	12361	0
Slc39a13	2;2;2;2;2;2;2;2;2;2;2	91061791;91061791;91062874;91063122;91063125;91063405;91064641;91065581;91066046;91068431;91069118	91070229;91070417;91070283;91065446;91064386;91070298;91066176;91070239;91070187;91068871;91070239	-;-;-;-;-;-;-;-;-;-;-	8627	0
Spi1	2;2;2;2	91082390;91082408;91096096;91096780	91114366;91090310;91115756;91113315	+;+;+;+	33367	0
Mybpc3	2;2;2	91118144;91118144;91118144	91136516;91136510;91136510	+;+;+	18373	0
Madd	2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	91137360;91137360;91137360;91137360;91137360;91137360;91137360;91137360;91137360;91137360;91137360;91137360;91137361;91137361;91137361;91137361;91137361;91137361;91138350;91143042;91143271;91152147;91155558;91161046;91161393;91167816;91177637;91178449	91179315;91183818;91183818;91183818;91183818;91183818;91182889;91182888;91182848;91179326;91179317;91179321;91183818;91183818;91183818;91183818;91183818;91183818;91139256;91154951;91152491;91154795;91160357;91183026;91183047;91175729;91183837;91183039	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	46478	0
Nr1h3	2;2;2;2;2;2;2;2	91184061;91184061;91184061;91184092;91184092;91184206;91190185;91192031	91195025;91195035;91195116;91194885;91195151;91192744;91190935;91202834	-;-;-;-;-;-;-;-	18774	0
Gm13783	2	91195906	91202778	-	6873	0
Gm23390	2	91200162	91200267	+	106	0
Acp2	2;2;2;2;2	91202885;91202909;91202924;91202924;91202928	91208313;91214098;91212142;91206046;91203657	+;+;+;+;+	11214	0
Ddb2	2;2;2;2;2	91211572;91211588;91211603;91211621;91211856	91235331;91236907;91236885;91236960;91236982	-;-;-;-;-	25411	0
A330069E16Rik	2	91237146	91238352	+	1207	0
Gm17281	2	91250743	91255995	-	5253	0
Pacsin3	2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	91255954;91256115;91256144;91256162;91256813;91256813;91256813;91256838;91257329;91257335;91259206;91259829;91260805;91262913;91263106	91261569;91257128;91260541;91264679;91261246;91264678;91264679;91261335;91264679;91261301;91260229;91261598;91261669;91263533;91264359	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8726	0
Arfgap2	2;2;2;2;2;2;2	91264974;91265293;91265324;91265334;91265702;91269342;91270092	91276931;91276931;91266545;91268752;91267389;91273607;91274125	+;+;+;+;+;+;+	11958	0
1110051M20Rik	2;2;2;2;2;2;2;2	91275068;91277830;91278244;91281742;91304411;91383784;91418784;91418833	91444622;91444642;91444680;91283141;91444643;91444669;91444637;91444704	-;-;-;-;-;-;-;-	169637	0
Gm13787	2	91344022	91344189	-	168	0
Lrp4	2;2;2;2	91457511;91457511;91476256;91476319	91513779;91479287;91480871;91478842	+;+;+;+	56269	0
Gm13770	2	91523580	91523884	-	305	0
Ckap5	2;2;2;2;2;2;2;2;2	91526762;91526978;91546320;91546322;91546322;91546333;91555240;91594765;91596088	91620664;91555364;91565168;91620662;91620662;91620663;91565171;91606423;91600693	+;+;+;+;+;+;+;+;+	93903	0
Snord67	2	91596070	91596180	+	111	0
F2	2;2;2	91625320;91625329;91631173	91636414;91636407;91636395	-;-;-	11095	0
Gm13771	2	91641685	91641922	-	238	0
Zfp408	2;2;2;2;2;2	91643669;91643688;91646278;91647668;91648016;91648936	91649779;91649791;91648235;91649759;91649743;91649760	-;-;-;-;-;-	6123	0
Arhgap1	2;2;2;2;2;2;2;2;2	91649860;91650118;91650222;91651498;91651498;91651747;91653208;91668516;91669931	91672326;91672326;91672326;91654533;91654531;91668328;91672302;91671361;91671047	+;+;+;+;+;+;+;+;+	22467	0
Atg13	2;2;2;2;2;2	91674618;91674619;91676283;91676318;91679387;91688713	91710576;91710519;91679695;91682229;91685252;91705734	-;-;-;-;-;-	35959	0
Harbi1	2;2;2;2;2	91710852;91710853;91710917;91710922;91712195	91712327;91712725;91715430;91721545;91719287	+;+;+;+;+	10694	0
Gm13776	2	91716159	91717419	-	1261	0
Ambra1	2;2;2;2;2;2;2;2;2	91730134;91730138;91730182;91730182;91730184;91730225;91766445;91773232;91811668	91918849;91918848;91810969;91810969;91918848;91918849;91918849;91824519;91825352	+;+;+;+;+;+;+;+;+	188716	0
Gm10805	2	91920528	91920928	-	401	0
Chrm4	2;2	91922189;91927249	91929829;91928688	+;+	7641	0
Mdk	2;2;2;2	91929805;91929828;91929828;91929966	91931688;91932297;91931780;91931699	-;-;-;-	2493	0
Dgkz	2;2;2;2;2;2;2;2;2;2;2;2;2	91932824;91932824;91932826;91932827;91932827;91933236;91933384;91933442;91933455;91933781;91935907;91940758;91941009	91975864;91965587;91963657;91965600;91950427;91933932;91934581;91935499;91934511;91935600;91938028;91950311;91945257	-;-;-;-;-;-;-;-;-;-;-;-;-	43041	0
mmu-mir-6999	2	91944870	91944930	-	61	0
Gm9821	2	91945703	91947655	+	1953	0
Creb3l1	2	91982328	92024502	-	42175	0
Gm13780	2	92043373	92096042	-	52670	0
2900072N19Rik	2	92054989	92059369	-	4381	0
Phf21a	2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	92093117;92093137;92093137;92093137;92184106;92184175;92184268;92184276;92184276;92184302;92184302;92184792;92185459;92185483;92186465;92221562;92221570;92228479;92320429;92330727;92348911	92364666;92364666;92364666;92364666;92361829;92361835;92214089;92360893;92320269;92214598;92221589;92228475;92221592;92360901;92221604;92364666;92327104;92360430;92330698;92359177;92356993	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	271550	0
Mir1955	2	92191977	92192074	+	98	0
Gm13786	2	92233105	92233437	+	333	0
Gm13785	2	92312154	92312843	+	690	0
Gyltl1b	2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	92365046;92365046;92365047;92365051;92365052;92365060;92365060;92365071;92365792;92365975;92367018;92367314;92367387;92368069;92369706;92369935;92369985	92370986;92371057;92371036;92371018;92371011;92371028;92371967;92371033;92366521;92366776;92369474;92369661;92370073;92371033;92371018;92374869;92371945	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	9824	0
Pex16	2;2;2;2	92374676;92375306;92375493;92375559	92381216;92381217;92379321;92376703	+;+;+;+	6542	0
1700029I15Rik	2;2	92382918;92382918	92383601;92385708	+;+	2791	0
Mapk8ip1	2;2;2	92383676;92383680;92389902	92392731;92401263;92392732	-;-;-	17588	0
mmu-mir-7000	2	92387384	92387446	-	63	0
Cry2	2;2;2;2	92403646;92411260;92425154;92426904	92434043;92434036;92434036;92432392	-;-;-;-	30398	0
D930015M05Rik	2	92408892	92432308	+	23417	0
Slc35c1	2;2;2	92452764;92452767;92458686	92459794;92460538;92459709	-;-;-	7775	0
Gm13814	2	92483926	92529809	+	45884	0
Gm13817	2	92529694	92540980	-	11287	0
Gm13815	2	92561269	92561680	+	412	0
mmu-mir-7221	2	92592206	92592277	+	72	0
mmu-mir-7222	2	92594602	92594676	+	75	0
Chst1	2	92599707	92615250	+	15544	0
Gm13816	2	92742230	92759208	+	16979	0
Gm13791	2	92856167	92913663	-	57497	0
Gm13792	2	92872887	92873309	-	423	0
Syt13	2	92915098	92956058	+	40961	0
Prdm11	2;2;2;2;2	92965151;92974906;92984707;93009973;93012627	93045571;93046144;93046053;93013910;93046167	-;-;-;-;-	81017	0
4631405J19Rik	2;2;2;2;2	93027956;93027956;93029348;93029349;93030444	93033412;93033412;93033439;93031709;93044732	+;+;+;+;+	16777	0
Gm13802	2	93085942	93098244	-	12303	0
Trp53i11	2;2;2;2;2;2;2;2	93187548;93187548;93187561;93187561;93187584;93187670;93189191;93198919	93201759;93198919;93200308;93199449;93201749;93189562;93201757;93200598	+;+;+;+;+;+;+;+	14212	0
Tspan18	2;2;2;2;2	93201760;93204247;93291836;93311263;93311263	93334487;93227786;93334487;93312515;93334505	-;-;-;-;-	132746	0
Gm23380	2	93386727	93386829	-	103	0
Gm13807	2	93403547	93417830	+	14284	0
Cd82	2;2;2;2;2;2;2;2;2;2;2	93419111;93419111;93419116;93419154;93419830;93420657;93421827;93421827;93430127;93433478;93437388	93462411;93462502;93462946;93420287;93452679;93462386;93452683;93461912;93463140;93462443;93462912	-;-;-;-;-;-;-;-;-;-;-	44030	0
mmu-mir-7001	2	93421929	93422007	-	79	0
Gm10804	2;2;2;2	93452819;93452820;93452821;93468439	93469871;93456721;93466400;93468675	+;+;+;+	17053	0
Gm10803	2	93560568	93564361	+	3794	0
Alx4	2;2	93642384;93642388	93681339;93681339	+;+	38956	0
Ext2	2;2;2;2;2;2;2;2;2;2;2;2	93661028;93695631;93696113;93696127;93702956;93703539;93715946;93762561;93806128;93813143;93813568;93813953	93822549;93822568;93705109;93822545;93707318;93704509;93822549;93795989;93822565;93822545;93822548;93822553	-;-;-;-;-;-;-;-;-;-;-;-	161541	0
Gm13818	2	93794570	93795080	+	511	0
Accs	2;2;2;2;2;2;2;2;2;2;2;2	93833467;93835438;93835438;93835988;93837019;93838011;93839193;93841280;93842569;93842798;93842809;93845021	93849941;93849679;93849799;93839359;93849943;93847929;93842268;93842381;93849816;93849939;93849939;93845784	-;-;-;-;-;-;-;-;-;-;-;-	16477	0
Accsl	2;2;2;2;2;2;2;2	93855361;93855362;93855367;93861064;93861778;93865875;93865875;93866027	93869157;93857020;93856732;93864816;93869157;93869082;93869072;93868693	-;-;-;-;-;-;-;-	13797	0
Gm23487	2	93898042	93898133	+	92	0
Gm1335	2	93940299	93940878	-	580	0
Gm13889	2;2	93955810;93956379	93957049;93957127	-;-	1318	0
Gm27027	2	93956817	93996354	-	39538	0
4921507L20Rik	2;2	93980034;93980034	93983575;93983575	+;+	3542	0
Alkbh3	2;2;2;2;2;2;2;2;2;2;2	93980550;93980550;93980550;93980629;93980637;93996178;93996247;93996247;94005774;94006244;94008037	93984851;94010807;93984820;93981626;94010730;94010431;94005187;94010754;94010754;94010752;94010752	-;-;-;-;-;-;-;-;-;-;-	30258	0
Hsd17b12	2;2;2;2;2	94032689;94032689;94032702;94033522;94114576	94066469;94157964;94157909;94066764;94157893	-;-;-;-;-	125276	0
Gm23630	2	94184027	94184130	-	104	0
Mir129-2	2	94241364	94241453	-	90	0
E530001K10Rik	2;2	94251879;94260966	94264739;94264758	-;-	12880	0
Mir670	2	94261300	94261399	-	100	0
Ttc17	2;2;2;2;2;2	94300767;94300767;94300767;94327937;94355049;94378688	94366597;94406679;94406689;94406688;94362817;94404991	-;-;-;-;-;-	105923	0
Itpa-ps1	2	94384502	94385098	-	597	0
2810002D19Rik	2	94406151	94411682	+	5532	0
Api5	2;2;2;2	94411682;94418263;94422336;94427059	94438136;94437968;94438136;94431988	-;-;-;-	26455	0
Gm13788	2	94590821	94591421	-	601	0
Gm24318	2	94621958	94622088	+	131	0
Gm13793	2	94729014	94730738	-	1725	0
Gm26396	2	94792205	94792336	-	132	0
Gm13795	2	95324690	95324984	-	295	0
Gm13794	2	95394242	95397651	+	3410	0
Gm13796	2	95675777	95676089	-	313	0
Gm13798	2	95677717	95677855	+	139	0
Gm13797	2	95697917	95698036	-	120	0
Gm13799	2	95838088	95840594	+	2507	0
Gm13800	2	96071529	96071694	+	166	0
Gm13801	2	96133435	96133594	+	160	0
Lrrc4c	2;2;2;2	96318169;96318216;97467657;97468089	97631666;97630983;97631664;97629063	+;+;+;+	1313498	0
4930445B16Rik	2	96987018	97083561	-	96544	0
Gm17075	2	96999624	97000293	+	670	0
Gm17076	2	97039912	97041312	+	1401	0
Gm22957	2	97117414	97117536	+	123	0
Gm22313	2	97237818	97237946	+	129	0
Gm23317	2	97272211	97272339	-	129	0
Gm13803	2;2	97949191;97949362	97949679;97949679	-;-	489	0
Gm13805	2	98182565	98182668	-	104	0
Gm13804	2	98291403	98291574	+	172	0
Gm13806	2	98601030	98601354	+	325	0
Gm10801	2	98662237	98664083	+	1847	0
Gm10800	2	98666547	98667301	-	755	0
Gm13809	2	99555251	99555878	+	628	0
Gm13808	2	100058933	100059116	+	184	0
Gm13811	2	100336203	100336458	+	256	0
Gm13813	2	100407493	100408279	-	787	0
Gm13812	2	100460188	100461534	-	1347	0
Gm13810	2	100626697	100628043	-	1347	0
B230118H07Rik	2;2;2;2;2;2;2;2;2;2;2;2	101560781;101561800;101562124;101562124;101562124;101562125;101562226;101562230;101576035;101609347;101609873;101610383	101628990;101610556;101621046;101649532;101649532;101576125;101628942;101584934;101628300;101629009;101621046;101649532	-;-;-;-;-;-;-;-;-;-;-;-	88752	0
Gm20693	2	101570624	101570834	+	211	0
Rag2	2;2	101624718;101624746	101632529;101631053	+;+	7812	0
Rag1	2	101638282	101649501	-	11220	0
Traf6	2;2;2	101678429;101678440;101684215	101686235;101701669;101690085	+;+;+	23241	0
Prr5l	2;2;2;2;2;2;2;2;2;2	101714285;101714285;101716241;101717250;101741348;101758518;101772140;101772184;101772295;101832071	101838980;101797707;101797708;101797650;101838980;101883014;101798054;101814333;101797733;101883027	-;-;-;-;-;-;-;-;-;-	168743	0
Gm13905	2	101872175	101883256	+	11082	0
Commd9	2;2;2;2	101886247;101886253;101886260;101886263	101896940;101901646;101897206;101895399	+;+;+;+	15400	0
Ldlrad3	2;2;2	101950203;101950203;102111569	102186385;102186358;102138119	-;-;-	236183	0
Gm13919	2;2	102039629;102039637	102066725;102042255	+;+	27097	0
Gm13920	2	102057587	102061430	+	3844	0
Gm13921	2	102174290	102174752	+	463	0
Gm13866	2	102209412	102210379	-	968	0
Trim44	2;2;2	102300119;102304494;102357443	102400900;102400257;102407828	-;-;-	107710	0
Gm13868	2	102311914	102312207	-	294	0
Fjx1	2	102449368	102451792	-	2425	0
Pamr1	2;2;2;2	102550012;102550070;102550149;102636025	102643041;102558026;102635648;102640787	+;+;+;+	93030	0
Slc1a2	2;2;2;2;2;2;2;2;2;2;2;2	102658659;102659223;102659240;102659258;102659281;102675484;102706356;102706438;102706438;102718974;102755907;102761173	102790784;102735962;102735962;102735959;102778097;102735959;102739876;102781743;102778106;102735955;102777584;102781557	+;+;+;+;+;+;+;+;+;+;+;+	132126	0
Gm13872	2;2;2	102737907;102743651;102744638	102746759;102746746;102746760	-;-;-	8854	0
Cd44	2;2;2;2;2;2;2;2;2	102811141;102811141;102812530;102812547;102814120;102814120;102814130;102814133;102851893	102901625;102901665;102901495;102901510;102901350;102901369;102901350;102901346;102901458	-;-;-;-;-;-;-;-;-	90525	0
Gm23731	2	102897960	102898066	+	107	0
Pdhx	2;2;2	103021075;103033277;103039619	103073513;103073335;103073462	-;-;-	52439	0
Apip	2;2;2;2	103073675;103073695;103082957;103091836	103092644;103092631;103091790;103092638	+;+;+;+	18970	0
Gm10038	2	103099155	103099601	+	447	0
Gm13874	2;2;2	103177787;103178171;103182228	103182894;103182894;103186681	+;+;+	8895	0
Gm13869	2	103206209	103210357	-	4149	0
Gm13873	2	103232538	103232964	-	427	0
Ehf	2;2;2;2;2;2;2;2	103263433;103264025;103266511;103266708;103267076;103274103;103276797;103279104	103303278;103303166;103283760;103274251;103299565;103290937;103302920;103303167	-;-;-;-;-;-;-;-	39846	0
A930006I01Rik	2	103338601	103372764	-	34164	0
BC016548	2;2	103377643;103383979	103389044;103389042	-;-	11402	0
Elf5	2;2;2;2;2;2;2	103411688;103411713;103424062;103424126;103424828;103446879;103448738	103450986;103445288;103450989;103449841;103449031;103449015;103449823	+;+;+;+;+;+;+	39302	0
Cat	2;2	103453849;103454595	103485160;103485125	-;-	31312	0
Gm13996	2	103547259	103547688	+	430	0
Abtb2	2;2;2	103566310;103715035;103715081	103718423;103717217;103718423	+;+;+	152114	0
Nat10	2;2;2;2;2;2;2;2;2;2;2;2;2;2	103721256;103721260;103721260;103721260;103721661;103721927;103731822;103732017;103734339;103739560;103750221;103753020;103757099;103757236	103761270;103761197;103761241;103761241;103724429;103761204;103734493;103733259;103743357;103761270;103760926;103761261;103761195;103758416	-;-;-;-;-;-;-;-;-;-;-;-;-;-	40015	0
Caprin1	2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	103762941;103765018;103767107;103767812;103768450;103771711;103772749;103772998;103773001;103773471;103777963;103779524;103782521;103782919;103796452	103797649;103797104;103772781;103771793;103772684;103774272;103773712;103779368;103776008;103775654;103796933;103796544;103796973;103796868;103797599	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	34709	0
4930547E08Rik	2	103804452	103810622	-	6171	0
Gm13878	2	103810886	103811617	-	732	0
Gm13880	2	103819003	103819476	-	474	0
Gm13877	2	103837101	103837517	-	417	0
Gm13875	2	103838954	103839235	+	282	0
Gm22757	2	103839109	103839204	+	96	0
Gm13879	2	103843415	103843656	-	242	0
Gm22761	2	103843418	103843513	-	96	0
Gm13876	2	103888324	103888584	+	261	0
Gm13881	2	103912024	103918960	+	6937	0
Lmo2	2;2;2;2;2;2;2;2;2	103957986;103957995;103969528;103969557;103970129;103970141;103970223;103970244;103971179	103981050;103981878;103981092;103981878;103981855;103976142;103981874;103981839;103980916	+;+;+;+;+;+;+;+;+	23893	0
4931422A03Rik	2;2;2	103966943;103992495;104025882	104027793;104028308;104028361	-;-;-	61419	0
Fbxo3	2;2;2;2;2	104027721;104027844;104027846;104027848;104027860	104063240;104057523;104063003;104057490;104057504	+;+;+;+;+	35520	0
Gm24644	2	104040669	104040807	+	139	0
Gm10912	2	104065826	104067486	+	1661	0
Gm10799	2	104068047	104068550	-	504	0
Cd59b	2;2;2;2;2	104069849;104069849;104069891;104071010;104071066	104091160;104091187;104084645;104084957;104084820	+;+;+;+;+	21339	0
Cd59a	2;2;2	104095801;104095801;104095840	104115354;104115349;104114263	+;+;+	19554	0
A930018P22Rik	2	104122769	104124749	+	1981	0
D430041D05Rik	2;2;2;2;2;2;2;2	104143073;104143073;104147047;104152180;104184987;104207666;104255123;104255416	104257400;104410334;104230568;104158419;104241183;104257984;104409992;104409993	-;-;-;-;-;-;-;-	267262	0
Gm22501	2	104228112	104228238	-	127	0
Gm13883	2;2	104256672;104256672	104260532;104275757	+;+	19086	0
Gm25554	2	104289860	104289972	+	113	0
Gm13882	2	104291574	104292575	+	1002	0
Hipk3	2;2;2;2	104426481;104429781;104429855;104433663	104494446;104493690;104493954;104439252	-;-;-;-	67966	0
Mir1902	2	104428861	104428940	-	80	0
Gm13870	2	104537437	104538459	+	1023	0
Gm13884	2	104556661	104557489	+	829	0
4930500J02Rik	2;2;2;2;2;2	104559163;104559179;104559184;104559192;104559459;104567197	104568056;104568053;104571429;104568129;104568050;104568832	+;+;+;+;+;+	12267	0
Gm22439	2	104578945	104579076	+	132	0
Gm13885	2	104583595	104583781	-	187	0
Cstf3	2;2;2;2;2;2	104590523;104590532;104590618;104655540;104663138;104663666	104665429;104611406;104609429;104663438;104664179;104664739	+;+;+;+;+;+	74907	0
Tcp11l1	2;2;2;2;2;2;2	104657288;104678017;104679980;104684780;104694559;104699055;104704950	104684266;104712156;104712162;104712169;104706467;104712093;104712166	-;-;-;-;-;-;-	54882	0
Pin1rt1	2	104713926	104716379	-	2454	0
Depdc7	2;2	104721784;104722581	104742878;104723155	-;-	21095	0
Qser1	2	104754795	104816696	-	61902	0
Gm13886	2	104820179	104821361	+	1183	0
Prrg4	2;2	104830741;104839335	104849876;104849493	-;-	19136	0
Ccdc73	2;2;2;2;2	104867805;104886324;104907546;104992190;105017121	104951567;104999737;104990023;105017851;105017904	+;+;+;+;+	150100	0
Gm13887	2	104875202	104875545	+	344	0
Eif3m	2;2;2;2	104999656;104999656;104999659;104999689	105017080;105007271;105006823;105017043	-;-;-;-	17425	0
Gm13888	2	105031866	105032287	-	422	0
AI314831	2;2;2;2	105076538;105076845;105077895;105093630	105089817;105126510;105078107;105126403	-;-;-;-	49973	0
Gm11060	2	105092018	105093760	+	1743	0
WT1-AS_8	2	105121792	105122051	-	260	0
WT1-AS_7	2	105122188	105122481	-	294	0
WT1-AS_6	2	105123062	105123183	-	122	0
WT1-AS_3	2	105125222	105125454	-	233	0
Wt1	2;2;2;2;2;2;2;2	105126529;105126996;105127001;105127210;105130800;105130883;105130883;105162808	105173612;105172342;105172265;105172681;105133950;105173612;105173616;105170011	+;+;+;+;+;+;+;+	47088	0
0610012H03Rik	2;2	105224320;105224342	105379796;105379035	+;+	155477	0
Rcn1	2;2	105386291;105386929	105399319;105395348	-;-	13029	0
4930527A07Rik	2	105476501	105477357	+	857	0
Pax6os1	2;2	105536080;105536939	105670330;105670280	-;-	134251	0
Gm13890	2	105537093	105537482	-	390	0
Rpl10-ps1	2	105554201	105554845	-	645	0
Pax6	2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	105668900;105668900;105668920;105668935;105671860;105673963;105675109;105675191;105675191;105675433;105675513;105675527;105676128;105676129;105678391;105679867;105681712;105682463;105682508;105682535;105682537;105682547;105682637;105683754;105685322;105692483	105697360;105697363;105696462;105683870;105697242;105675876;105675972;105675822;105697242;105697344;105697361;105697071;105697071;105697361;105685795;105692222;105684982;105692233;105692265;105696353;105691723;105692243;105691694;105684943;105697364;105693125	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	28465	0
Elp4	2;2;2;2	105697320;105731448;105792079;105866070	105904564;105865982;105814322;105904483	-;-;-;-	207245	0
Gm13954	2	105708999	105710098	+	1100	0
Immp1l	2	105904638	105965558	+	60921	0
Dnajc24	2;2;2;2;2	105966709;105966709;105966784;105967012;105970439	106003549;106002008;106003263;106003202;106002077	-;-;-;-;-	36841	0
Gm22002	2	105992757	105992881	+	125	0
n-R5s201	2	105997032	105997147	+	116	0
Dcdc5	2;2;2;2;2;2	106003336;106038218;106222057;106226454;106383680;106383687	106040626;106385623;106385623;106336141;106406151;106406151	+;+;+;+;+;+	402816	0
Gm13992	2	106015200	106015355	+	156	0
Gm14013	2	106265307	106265576	+	270	0
Gm14015	2	106463823	106523103	-	59281	0
Gm14014	2	106574791	106580840	-	6050	0
BB218582	2;2;2	106642914;106642917;106647210	106643388;106650364;106650334	-;-;-	7451	0
Mpped2	2;2;2;2;2;2	106693269;106695220;106695601;106695623;106695854;106730490	106868356;106744772;106867202;106783858;106867031;106783977	+;+;+;+;+;+	175088	0
Gm22813	2	106809336	106809458	+	123	0
Gm13901	2	106916771	106917238	+	468	0
